"ad_date","campaign_name","total_spend","total_impressions","total_clicks","total_value","cpc","cpm","ctr","romi"
2022-07-01,Hobbies,104.66,48119,215,145.09,0.49,2.18,0.00446808952804505497,1.38629849034970380279
2022-06-30,Expansion,206.24,13695,44,203.27,4.69,15.06,0.00321285140562248996,0.98559930178432893716
2022-06-30,Hobbies,129.42,94454,293,205.94,0.44,1.37,0.00310203908780993923,1.5912532838819348
2022-06-29,Expansion,307.04,4843,56,479.29,5.48,63.40,0.01156308073508156102,1.5610018238665972
2022-06-29,Hobbies,95.08,13454,67,92.69,1.42,7.07,0.00497993161884941281,0.97486327303323517038
2022-06-28,Expansion,322.28,6133,13,297.48,24.79,52.55,0.00211968041741398989,0.92304828099789003351
2022-06-28,Hobbies,106.62,32072,282,103.48,0.38,3.32,0.00879271638812671489,0.97054961545676233352
2022-06-27,Expansion,547.80,27268,108,871.95,5.07,20.09,0.00396068651899662608,1.5917305585980285
2022-06-27,Hobbies,31.39,56941,119,51.59,0.26,0.55,0.00208988250996645651,1.6435170436444728
2022-06-26,Expansion,514.52,6387,45,856.70,11.43,80.56,0.00704556129638327853,1.6650470341288968
2022-06-26,Hobbies,72.67,23971,207,62.23,0.35,3.03,0.00863543448333402862,0.85633686528140910967
2022-06-25,Expansion,267.30,11977,66,388.95,4.05,22.32,0.00551056191032812891,1.4551066217732884
2022-06-25,Hobbies,31.43,21165,130,54.05,0.24,1.48,0.00614221592251358375,1.7196945593382119
2022-06-24,Expansion,346.13,9901,36,532.54,9.61,34.96,0.00363599636400363600,1.5385548782249444
2022-06-24,Hobbies,127.66,57687,212,129.10,0.60,2.21,0.00367500476710524035,1.01127996240012533292
2022-06-23,Expansion,113.03,6823,126,118.69,0.90,16.57,0.01846695002198446431,1.05007520127399805361
2022-06-23,Hobbies,41.48,20908,59,40.98,0.70,1.98,0.00282188635928831069,0.98794599807135969142
2022-06-22,Hobbies,122.36,74713,113,179.17,1.08,1.64,0.00151245432521783358,1.46428571428571428571
2022-06-21,Expansion,578.03,9978,168,779.30,3.44,57.93,0.01683704149128081780,1.3481999204193554
2022-06-21,Hobbies,89.96,38895,229,102.90,0.39,2.31,0.00588764622702146806,1.1438417074255225
2022-06-20,Expansion,140.71,23450,64,151.51,2.20,6.00,0.00272921108742004264,1.07675360670883377159
2022-06-20,Hobbies,122.18,30538,153,159.60,0.80,4.00,0.00501015128692121292,1.30626943853331150761
2022-06-19,Expansion,490.32,11936,35,811.92,14.01,41.08,0.00293230563002680965,1.6558981889378365
2022-06-19,Hobbies,132.05,48473,347,190.23,0.38,2.72,0.00715862438883502156,1.44059068534645967437
2022-06-18,Expansion,377.75,10517,34,297.71,11.11,35.92,0.00323286108205762099,0.78811383189940436797
2022-06-18,Hobbies,39.88,56188,105,68.37,0.38,0.71,0.00186872641845233858,1.7143931795386158
2022-06-17,Expansion,136.80,4112,47,195.44,2.91,33.27,0.01142996108949416342,1.42865497076023391813
2022-06-17,Hobbies,70.54,67596,200,59.43,0.35,1.04,0.00295875495591455116,0.84250070881769208959
2022-06-16,Expansion,296.83,13671,105,452.18,2.83,21.71,0.00768049155145929339,1.5233635414210154
2022-06-16,Hobbies,39.58,41809,200,63.78,0.20,0.95,0.00478365902078499845,1.6114199090449722
2022-06-15,Expansion,339.61,25254,47,397.00,7.23,13.45,0.00186109131226736359,1.16898795677394658579
2022-06-15,Hobbies,180.23,40412,261,247.84,0.69,4.46,0.00645847767989706028,1.3751317760639183
2022-06-14,Expansion,317.83,4627,31,473.88,10.25,68.69,0.00669980548951804625,1.4909857470975050
2022-06-14,Hobbies,123.54,34672,437,131.15,0.28,3.56,0.01260383017997231195,1.06159948194916626194
2022-06-13,Expansion,494.96,15287,70,706.75,7.07,32.38,0.00457905409825341794,1.4278931630838856
2022-06-13,Hobbies,138.99,30216,337,190.08,0.41,4.60,0.01115303150648662960,1.36758040146773149147
2022-06-12,Expansion,365.43,9715,73,344.51,5.01,37.62,0.00751415337107565620,0.94275237391566100211
2022-06-12,Hobbies,192.01,83373,269,236.33,0.71,2.30,0.00322646420303935327,1.2308213113900318
2022-06-11,Expansion,407.86,13346,62,413.69,6.58,30.56,0.00464558669264199011,1.01429412053155494532
2022-06-11,Hobbies,142.38,79862,363,172.66,0.39,1.78,0.00454534071272945832,1.21267031886500913050
2022-06-10,Expansion,261.47,22099,50,339.64,5.23,11.83,0.00226254581655278519,1.2989635522239645
2022-06-10,Hobbies,76.76,64869,280,100.32,0.27,1.18,0.00431639149670875148,1.3069306930693069
2022-06-09,Expansion,337.20,13185,93,514.41,3.63,25.57,0.00705346985210466439,1.5255338078291815
2022-06-09,Hobbies,137.90,63694,459,143.02,0.30,2.17,0.00720633026658711967,1.03712835387962291516
2022-06-08,Expansion,434.16,27349,123,492.72,3.53,15.87,0.00449742220922154375,1.13488114980652294085
2022-06-08,Hobbies,107.79,46940,158,111.29,0.68,2.30,0.00336599914784831700,1.03247054457741905557
2022-06-07,Hobbies,151.71,49115,273,262.09,0.56,3.09,0.00555838338593097832,1.7275723419682289
2022-06-06,Expansion,244.94,29891,36,320.70,6.80,8.19,0.00120437589910006356,1.3093002367926839
2022-06-06,Hobbies,100.66,21260,331,167.43,0.30,4.73,0.01556914393226716839,1.66332207430955692430
2022-06-05,Expansion,555.33,37427,109,793.41,5.09,14.84,0.00291233601410746253,1.4287180595321701
2022-06-05,Hobbies,48.91,47129,129,74.61,0.38,1.04,0.00273716819792484458,1.5254549171948477
2022-06-04,Expansion,215.62,5642,89,272.61,2.42,38.22,0.01577454803261254874,1.26430757814673963454
2022-06-04,Hobbies,101.03,27162,140,124.49,0.72,3.72,0.00515425962742066122,1.23220825497377016728
2022-06-03,Expansion,390.89,11090,87,392.01,4.49,35.25,0.00784490532010820559,1.00286525621018700913
2022-06-03,Hobbies,61.17,38756,67,71.34,0.91,1.58,0.00172876457838786252,1.1662579695929377
2022-06-02,Expansion,514.25,34123,90,561.51,5.71,15.07,0.00263751721712627846,1.09190082644628099174
2022-06-02,Hobbies,47.66,41860,171,66.83,0.28,1.14,0.00408504538939321548,1.4022240872849350
2022-06-01,Expansion,149.20,33127,72,138.25,2.07,4.50,0.00217345367826848190,0.92660857908847184987
2022-06-01,Hobbies,82.64,32890,188,85.31,0.44,2.51,0.00571602310732745515,1.0323088092933204
2022-05-31,Expansion,527.55,39842,147,858.12,3.59,13.24,0.00368957381657547312,1.6266135911288030
2022-05-31,Hobbies,20.55,22461,44,22.33,0.47,0.91,0.00195895107074484662,1.0866180048661800
2022-05-30,Expansion,478.99,30011,111,631.86,4.32,15.96,0.00369864383059544834,1.3191507129585169
2022-05-30,Hobbies,197.07,70144,368,227.06,0.54,2.81,0.00524635036496350365,1.1521794286294210
2022-05-29,Expansion,494.16,23002,40,464.02,12.35,21.48,0.00173897921919833058,0.93900760887162052776
2022-05-29,Hobbies,241.51,153138,431,347.19,0.56,1.58,0.00281445493607073359,1.4375802244213490
2022-05-28,Expansion,227.26,15990,107,226.43,2.12,14.21,0.00669168230143839900,0.99634779547654668661
2022-05-28,Hobbies,207.46,114581,393,227.27,0.53,1.81,0.00342988802681072778,1.09548828689867926347
2022-05-27,Expansion,356.70,14277,106,528.82,3.37,24.98,0.00742452896266722701,1.4825343425848052
2022-05-27,Hobbies,160.53,86353,544,241.70,0.30,1.86,0.00629972322907136984,1.5056375755310534
2022-05-26,Hobbies,183.59,102362,695,238.71,0.26,1.79,0.00678962896387331236,1.3002342175499755
2022-05-25,Expansion,369.51,12865,90,456.41,4.11,28.72,0.00699572483482316362,1.2351763145787665
2022-05-25,Hobbies,199.32,120144,487,246.72,0.41,1.66,0.00405346917032893861,1.2378085490668272
2022-05-24,Expansion,164.75,33289,100,136.47,1.65,4.95,0.00300399531376731052,0.82834597875569044006
2022-05-24,Hobbies,204.22,138635,621,237.70,0.33,1.47,0.00447938832185234609,1.16394084810498482029
2022-05-23,Expansion,303.07,16480,58,337.91,5.23,18.39,0.00351941747572815534,1.11495694064077605834
2022-05-23,Hobbies,123.26,95102,600,157.99,0.21,1.30,0.00630901558326849067,1.28176212883336037644
2022-05-22,Expansion,163.30,11943,138,284.26,1.18,13.67,0.01155488570710876664,1.7407225964482547
2022-05-22,Hobbies,144.81,79808,559,179.29,0.26,1.81,0.00700431034482758621,1.23810510323872660728
2022-05-21,Expansion,146.30,26675,111,220.43,1.32,5.48,0.00416119962511715089,1.5066985645933014
2022-05-21,Hobbies,194.71,155063,511,281.84,0.38,1.26,0.00329543475877546546,1.4474860048276925
2022-05-20,Expansion,472.42,34386,149,490.67,3.17,13.74,0.00433315884371546560,1.03863087930231573600
2022-05-20,Hobbies,121.68,124428,555,133.65,0.22,0.98,0.00446041084000385765,1.09837278106508875740
2022-05-19,Expansion,427.31,36710,152,592.03,2.81,11.64,0.00414056115499863797,1.3854812665278135
2022-05-19,Hobbies,111.35,97738,651,127.02,0.17,1.14,0.00666066422476416542,1.14072743601257296812
2022-05-18,Expansion,545.96,31019,189,611.41,2.89,17.60,0.00609303974983074890,1.1198805773316727
2022-05-18,Hobbies,173.02,118173,677,166.60,0.26,1.46,0.00572888900171782048,0.96289446306785342735
2022-05-17,Expansion,318.86,33077,114,485.45,2.80,9.64,0.00344650361278229586,1.5224549959229756
2022-05-17,Hobbies,174.97,115151,519,230.82,0.34,1.52,0.00450712542661375064,1.3191975767274390
2022-05-16,Hobbies,146.97,69807,512,211.93,0.29,2.11,0.00733450800063030928,1.4419949649588351
2022-05-15,Expansion,237.33,23706,102,412.56,2.33,10.01,0.00430270817514553278,1.7383390216154721
2022-05-15,Hobbies,70.04,94883,339,102.39,0.21,0.74,0.00357282126408313396,1.4618789263278127
2022-05-14,Expansion,324.07,8895,23,473.99,14.09,36.43,0.00258572231590781338,1.4626161014595612
2022-05-14,Hobbies,117.93,56445,499,163.44,0.24,2.09,0.00884046416865975729,1.38590689392012210633
2022-05-13,Expansion,346.32,10100,100,430.45,3.46,34.29,0.00990099009900990099,1.2429256179256179
2022-05-13,Hobbies,81.83,45049,303,84.57,0.27,1.82,0.00672600945636973074,1.0334840523035562
2022-05-12,Expansion,509.67,6672,111,591.43,4.59,76.39,0.01663669064748201439,1.16041752506523829144
2022-05-12,Hobbies,87.17,67234,310,124.54,0.28,1.30,0.00461076241187494422,1.4287025352758977
2022-05-11,Expansion,568.57,27283,284,471.17,2.00,20.84,0.01040941245464208481,0.82869303691717818386
2022-05-11,Hobbies,114.13,95819,311,184.61,0.37,1.19,0.00324570283555453511,1.61754140015771488653
2022-05-10,Expansion,1300.33,34105,312,1825.94,4.17,38.13,0.00914821873625568099,1.4042127767566695
2022-05-10,Hobbies,114.88,72135,134,138.86,0.86,1.59,0.00185762805850142095,1.20873955431754874652
2022-05-09,Expansion,268.45,13029,61,373.00,4.40,20.60,0.00468186353519072838,1.3894579996274912
2022-05-09,Hobbies,92.56,108103,436,100.64,0.21,0.86,0.00403319056825435002,1.0872947277441659
2022-05-08,Expansion,198.70,16562,134,216.45,1.48,12.00,0.00809081028861248641,1.0893306492199295
2022-05-08,Hobbies,83.19,112231,563,115.70,0.15,0.74,0.00501643930821252595,1.3907921625195336
2022-05-07,Expansion,376.44,35865,108,367.20,3.49,10.50,0.00301129234629861982,0.97545425565827223462
2022-05-07,Hobbies,125.72,173772,707,120.70,0.18,0.72,0.00406854959372050733,0.96006999681832643971
2022-05-06,Expansion,342.02,22643,84,596.74,4.07,15.10,0.00370975577441151791,1.7447517689024034
2022-05-06,Hobbies,184.30,107709,794,183.88,0.23,1.71,0.00737171452710544151,0.99772110689093868692
2022-05-05,Expansion,291.15,8777,58,421.52,5.02,33.17,0.00660818047168736470,1.4477760604499399
2022-05-05,Hobbies,104.41,49500,274,136.75,0.38,2.11,0.00553535353535353535,1.30974044631740254765
2022-05-04,Expansion,120.13,37961,86,157.29,1.40,3.16,0.00226548299570611944,1.30933155747939731957
2022-05-04,Hobbies,131.06,63862,295,109.89,0.44,2.05,0.00461933544204691366,0.83847092934533801312
2022-05-03,Expansion,203.46,52071,44,178.64,4.62,3.91,0.00084500009602273818,0.87801041973852354271
2022-05-03,Hobbies,163.62,155955,934,195.02,0.18,1.05,0.00598890705652271489,1.19190807969685857475
2022-05-02,Expansion,169.73,19490,66,185.16,2.57,8.71,0.00338635197537198563,1.09090909090909090909
2022-05-02,Hobbies,262.51,68225,630,320.21,0.42,3.85,0.00923415170392085013,1.2198011504323645
2022-05-01,Expansion,324.61,22457,104,362.35,3.12,14.45,0.00463107271674756201,1.11626259203351714365
2022-05-01,Hobbies,96.26,118651,462,86.81,0.21,0.81,0.00389377249243579911,0.90182838146686058591
2022-04-30,Expansion,499.48,36688,24,707.89,20.81,13.61,0.00065416484954208461,1.4172539441018659
2022-04-30,Hobbies,204.46,87965,640,179.40,0.32,2.32,0.00727562098561928040,0.87743323877531057420
2022-04-29,Hobbies,63.74,57398,423,62.48,0.15,1.11,0.00736959475939928220,0.98023219328522121117
2022-04-28,Expansion,432.48,15670,98,454.01,4.41,27.60,0.00625398851308232291,1.04978264890862005179
2022-04-28,Hobbies,157.51,269617,682,215.54,0.23,0.58,0.00252951408850332138,1.3684210526315789
2022-04-27,Expansion,282.98,5700,129,377.30,2.19,49.65,0.02263157894736842105,1.3333097745423705
2022-04-27,Hobbies,220.83,148837,442,245.63,0.50,1.48,0.00296969167612891956,1.11230358194085948467
2022-04-26,Expansion,284.46,16877,86,270.67,3.31,16.85,0.00509569236238668010,0.95152218238065105815
2022-04-26,Hobbies,180.77,171269,981,196.40,0.18,1.06,0.00572783165663371655,1.08646346185760911656
2022-04-25,Expansion,101.82,38725,96,146.45,1.06,2.63,0.00247901872175597159,1.43832252995482223532
2022-04-25,Hobbies,110.67,119040,554,115.58,0.20,0.93,0.00465389784946236559,1.04436613355019427126
2022-04-24,Expansion,272.81,17796,163,281.36,1.67,15.33,0.00915936165430433805,1.03134049338367361900
2022-04-24,Hobbies,156.08,161566,822,176.80,0.19,0.97,0.00508770409615884530,1.13275243464889800103
2022-04-23,Expansion,311.30,17140,55,349.43,5.66,18.16,0.00320886814469078180,1.12248634757468679730
2022-04-23,Hobbies,112.58,95063,690,128.91,0.16,1.18,0.00725834446630129493,1.14505240717711849352
2022-04-22,Expansion,446.55,64637,600,405.19,0.74,6.91,0.00928260903197858812,0.90737879296831261897
2022-04-22,Hobbies,136.08,127701,374,155.17,0.36,1.07,0.00292871629822789172,1.14028512639623750735
2022-04-21,Expansion,1111.08,55872,934,1246.74,1.19,19.89,0.01671678121420389462,1.1220974187277244
2022-04-21,Hobbies,228.34,184574,1068,301.06,0.21,1.24,0.00578629709493211395,1.3184724533590260
2022-04-20,Expansion,956.07,76787,1174,1152.26,0.81,12.45,0.01528904632294529022,1.2052046398276277
2022-04-20,Hobbies,221.82,106220,807,266.77,0.27,2.09,0.00759743927697232160,1.20264178162474078081
2022-04-19,Expansion,960.15,37591,597,1310.70,1.61,25.54,0.01588146098800244739,1.3650992032494923
2022-04-19,Hobbies,38.91,28678,158,44.04,0.25,1.36,0.00550944975242346049,1.1318427139552814
2022-04-18,Expansion,849.14,78379,1221,882.52,0.70,10.83,0.01557815231120580768,1.03931036107120145088
2022-04-18,Hobbies,128.85,55431,492,176.13,0.26,2.32,0.00887589976727823781,1.36693830034924330617
2022-04-17,Expansion,1833.90,80475,959,2562.60,1.91,22.79,0.01191674433053743399,1.3973499100278096
2022-04-17,Hobbies,191.79,115102,967,254.52,0.20,1.67,0.00840124411391635245,1.3270764899108400
2022-04-16,Expansion,1184.30,69665,1192,1431.12,0.99,17.00,0.01711045718797100409,1.2084100312420839
2022-04-16,Hobbies,35.91,97320,769,54.17,0.05,0.37,0.00790176736539251952,1.5084934558618769
2022-04-15,Expansion,1581.62,96723,867,1561.98,1.82,16.35,0.00896374181942247449,0.98758235227172139958
2022-04-15,Hobbies,79.65,65566,509,113.88,0.16,1.21,0.00776316993563737303,1.4297551789077213
2022-04-14,Expansion,1082.51,56091,744,1630.58,1.45,19.30,0.01326416002567256779,1.5062955538516965
2022-04-14,Hobbies,97.39,127029,1021,157.72,0.10,0.77,0.00803753473616260854,1.6194681178765787
2022-04-13,Expansion,1623.12,57339,713,1875.30,2.28,28.31,0.01243481748896911352,1.1553674404849919
2022-04-13,Hobbies,101.45,82465,973,113.00,0.10,1.23,0.01179894500697265507,1.11384918679152291769
2022-04-12,Expansion,1438.91,74590,1077,1573.31,1.34,19.29,0.01443893283281941279,1.0934040349987143
2022-04-12,Hobbies,106.50,78398,808,150.09,0.13,1.36,0.01030638536697364729,1.40929577464788732394
2022-04-11,Expansion,1280.43,57557,904,1905.38,1.42,22.25,0.01570616953628576889,1.4880782237217185
2022-04-11,Hobbies,140.26,168363,1313,178.02,0.11,0.83,0.00779862558875762489,1.26921431626978468558
2022-04-10,Expansion,1275.67,50639,1143,1176.94,1.12,25.19,0.02257153577282331800,0.92260537599849490856
2022-04-10,Hobbies,113.88,64729,465,153.06,0.24,1.76,0.00718379706159526642,1.34404636459430979979
2022-04-09,Expansion,2035.49,72678,967,2439.90,2.10,28.01,0.01330526431657447921,1.1986794334533700
2022-04-09,Hobbies,79.39,173218,1034,90.60,0.08,0.46,0.00596935653338567585,1.1412016626779191
2022-04-08,Expansion,1609.16,49828,791,1818.14,2.03,32.29,0.01587460865376896524,1.1298689999751423
2022-04-08,Hobbies,107.83,181104,1228,106.18,0.09,0.60,0.00678063433165473982,0.98469813595474357785
2022-04-07,Expansion,680.89,39477,492,887.42,1.38,17.25,0.01246295311193859716,1.3033235911821293
2022-04-07,Hobbies,139.16,97600,1258,163.27,0.11,1.43,0.01288934426229508197,1.17325380856567979304
2022-04-06,Expansion,1223.76,71654,1202,1296.07,1.02,17.08,0.01677505791721327490,1.05908838334313917762
2022-04-06,Hobbies,64.13,92767,606,82.11,0.11,0.69,0.00653249539168023112,1.2803680024949322
2022-04-05,Expansion,1070.84,76889,1009,1302.13,1.06,13.93,0.01312281340633900818,1.2159893167980277
2022-04-05,Hobbies,91.59,55645,848,109.17,0.11,1.65,0.01523946446221583251,1.1919423517851294
2022-04-04,Expansion,1446.74,117205,1525,1957.16,0.95,12.34,0.01301139029904867540,1.3528070005667915
2022-04-04,Hobbies,92.09,47926,1328,145.16,0.07,1.92,0.02770938530234110921,1.5762840699315887
2022-04-03,Expansion,1433.18,103180,584,2292.26,2.45,13.89,0.00566001163016088389,1.5994222637770552
2022-04-03,Hobbies,27.49,54823,449,25.71,0.06,0.50,0.00818999325100778870,0.93524918152055292834
2022-04-02,Expansion,1442.49,56355,945,1641.76,1.53,25.60,0.01676869842959808358,1.1381430720490263
2022-04-02,Hobbies,13.40,34583,863,16.39,0.02,0.39,0.02495445739236040829,1.2231343283582090
2022-04-01,Expansion,724.21,61405,941,726.00,0.77,11.79,0.01532448497679342073,1.00247165877300782922
2022-04-01,Hobbies,78.25,74232,440,90.68,0.18,1.05,0.00592736286237741136,1.1588498402555911
2022-03-31,Expansion,1364.58,50494,1008,1843.11,1.35,27.02,0.01996276785360636907,1.3506793299037066
2022-03-31,Hobbies,88.91,80349,1132,99.71,0.08,1.11,0.01408853874970441449,1.1214711506017321
2022-03-30,Expansion,916.70,78864,846,1041.27,1.08,11.62,0.01072732805842970177,1.1358896040143995
2022-03-30,Hobbies,46.63,84493,767,54.51,0.06,0.55,0.00907767507367474229,1.1689899206519408
2022-03-29,Expansion,1318.77,27820,1245,1898.56,1.06,47.40,0.04475197699496764917,1.4396445172395490
2022-03-29,Hobbies,49.63,60053,1032,59.76,0.05,0.83,0.01718482007559988677,1.2041104170864397
2022-03-28,Expansion,1429.16,55408,1102,2096.33,1.30,25.79,0.01988882471845220907,1.4668266674130258
2022-03-28,Hobbies,70.35,101411,785,81.22,0.09,0.69,0.00774077762767352654,1.1545131485429993
2022-03-27,Expansion,1176.99,74563,989,1327.82,1.19,15.79,0.01326395128951356571,1.1281489222508263
2022-03-27,Hobbies,38.08,78996,1308,43.58,0.03,0.48,0.01655780039495670667,1.1444327731092437
2022-03-26,Expansion,474.85,45340,342,519.71,1.39,10.47,0.00754300838112042347,1.0944719385068969
2022-03-26,Hobbies,27.60,34802,623,28.96,0.04,0.79,0.01790127004195161198,1.0492753623188406
2022-03-25,Expansion,1139.66,39671,1304,1125.99,0.87,28.73,0.03287035870031005016,0.98800519453170243757
2022-03-24,Expansion,527.60,15556,407,750.98,1.30,33.92,0.02616353818462329648,1.4233889310083397
2022-03-23,Expansion,896.12,62574,414,1273.96,2.16,14.32,0.00661616645891264743,1.4216399589340713
2022-03-22,Expansion,769.08,63781,385,1054.61,2.00,12.06,0.00603628039698342767,1.3712617673063921
2022-03-21,Expansion,552.07,65632,824,697.34,0.67,8.41,0.01255485129205265724,1.2631369210426214
2022-03-20,Expansion,510.77,86896,761,742.84,0.67,5.88,0.00875759528631927822,1.4543532313957358
2022-03-19,Expansion,383.39,29358,119,525.84,3.22,13.06,0.00405340963280877444,1.3715537703122147
2022-02-24,Trendy,7.34,6302,10,11.57,0.73,1.16,0.00158679784195493494,1.5762942779291553
2022-02-23,Trendy,34.00,43659,182,80.69,0.19,0.78,0.00416867083533750200,2.3732352941176471
2022-02-22,Trendy,9.57,30855,101,11.23,0.09,0.31,0.00327337546588883487,1.1734587251828631
2022-02-21,Trendy,6.14,25970,99,12.23,0.06,0.24,0.00381209087408548325,1.9918566775244300
2022-02-20,Trendy,10.33,20064,142,17.37,0.07,0.51,0.00707735247208931419,1.6815101645692159
2022-02-19,Trendy,6.42,8206,133,7.02,0.05,0.78,0.01620765293687545698,1.0934579439252336
2022-02-18,Trendy,17.15,9152,114,36.05,0.15,1.87,0.01245629370629370629,2.1020408163265306
2022-02-17,Trendy,22.32,4345,112,30.88,0.20,5.14,0.02577675489067894131,1.3835125448028674
2022-02-16,Trendy,32.89,10580,105,58.07,0.31,3.11,0.00992438563327032136,1.7655822438431134
2022-02-14,Trendy,7.97,33804,164,17.25,0.05,0.24,0.00485149686427641699,2.1643663739021330
2022-02-13,Trendy,37.16,23426,57,89.88,0.65,1.59,0.00243319388713395373,2.4187298170075350
2022-02-12,Trendy,8.06,9780,197,19.08,0.04,0.82,0.02014314928425357873,2.3672456575682382
2022-02-11,Trendy,26.99,6987,129,54.54,0.21,3.86,0.01846285959639330185,2.0207484253427195
2022-02-09,Trendy,14.25,16773,63,33.05,0.23,0.85,0.00375603648721159006,2.3192982456140351
2022-02-08,Trendy,6.99,27130,102,12.86,0.07,0.26,0.00375967563582749724,1.8397711015736767
2022-02-07,Trendy,16.02,20425,174,29.99,0.09,0.78,0.00851897184822521420,1.8720349563046192
2022-02-06,Trendy,5.78,11941,66,9.17,0.09,0.48,0.00552717527845239092,1.5865051903114187
2022-02-05,Trendy,17.75,9732,71,34.26,0.25,1.82,0.00729551993423756679,1.9301408450704225
2022-02-04,Trendy,9.90,14389,27,20.81,0.37,0.69,0.00187643338661477518,2.1020202020202020
2022-02-03,Trendy,5.44,15077,95,9.71,0.06,0.36,0.00630098826026397825,1.7849264705882353
2022-02-02,Trendy,8.13,5202,23,11.90,0.35,1.56,0.00442137639369473280,1.4637146371463715
2022-01-31,Trendy,16.93,19554,80,33.83,0.21,0.87,0.00409123453001943336,1.9982279976373302
2022-01-30,Trendy,9.98,6179,93,19.84,0.11,1.62,0.01505097912283541026,1.9879759519038076
2022-01-29,Trendy,18.04,15815,22,24.77,0.82,1.14,0.00139108441353145748,1.3730598669623060
2022-01-28,Trendy,19.27,4607,147,28.77,0.13,4.18,0.03190796613848491426,1.4929942916450441
2022-01-27,Trendy,4.50,5092,66,5.91,0.07,0.88,0.01296150824823252160,1.3133333333333333
2022-01-26,Trendy,21.58,9485,104,23.54,0.21,2.28,0.01096468107538218239,1.0908248378127896
2022-01-25,Trendy,15.91,4220,53,31.49,0.30,3.77,0.01255924170616113744,1.9792583280955374
2022-01-20,Trendy,0.00,0,0,0.00,,,,
2022-01-19,Trendy,0.00,0,0,0.00,,,,
2022-01-18,Trendy,0.00,0,0,0.00,,,,
2022-01-17,Trendy,17.58,3215,96,35.35,0.18,5.47,0.02986003110419906687,2.0108077360637088
2022-01-16,Trendy,35.11,26504,79,84.19,0.44,1.32,0.00298068216118321763,2.3978923383651381
2022-01-15,Trendy,29.34,13238,55,56.89,0.53,2.22,0.00415470614896510047,1.9389911383776414
2022-01-14,Trendy,18.94,9045,168,37.38,0.11,2.09,0.01857379767827529022,1.9736008447729673
2022-01-13,Trendy,7.11,31288,119,8.11,0.06,0.23,0.00380337509588340578,1.1406469760900141
2022-01-12,Trendy,8.38,16934,106,9.18,0.08,0.49,0.00625959607889453171,1.0954653937947494
2022-01-11,Trendy,11.46,32720,32,28.50,0.36,0.35,0.00097799511002444988,2.4869109947643979
2022-01-10,Trendy,6.85,17826,151,9.00,0.05,0.38,0.00847077302816111298,1.3138686131386861
2022-01-09,Trendy,28.50,32217,383,58.73,0.07,0.88,0.01188813359406524506,2.0607017543859649
2022-01-08,Trendy,22.63,12824,220,53.32,0.10,1.76,0.01715533374922021210,2.3561643835616438
2022-01-07,Trendy,28.91,41669,224,71.02,0.13,0.69,0.00537569896085819194,2.4565894154271878
2022-01-06,Trendy,38.00,26336,206,87.35,0.18,1.44,0.00782199270959902795,2.2986842105263158
2022-01-05,Wholesale,0.00,0,0,0.00,,,,
2022-01-04,Trendy,9.64,30504,100,21.17,0.10,0.32,0.00327825858903750328,2.1960580912863071
2022-01-04,Wholesale,0.00,0,0,0.00,,,,
2022-01-03,Lookalike,0.00,0,0,0.00,,,,
2022-01-03,Trendy,32.01,44784,306,54.10,0.10,0.71,0.00683279742765273312,1.6900968447360200
2022-01-03,Wholesale,0.00,0,0,0.00,,,,
